Uid,Mid,Ratings,Genre
3,1235,4,Romance
3,1271,3,Comedy
3,1378,4,Western
3,1580,3.5,Sci-Fi
3,1721,4.5,Drama
3,1884,4,Adventure
3,2028,4,War
3,2318,4,Drama
3,2513,3,Horror
3,2694,3,Comedy
3,2702,3.5,Drama
3,2716,3,Action
3,2762,3.5,Mystery
3,2841,4,Horror
3,2858,4,Romance
3,2959,5,Crime
3,3243,3,Comedy
3,3510,4,Drama
3,3949,5,Drama
3,5349,3,Action
3,5669,3.5,Documentary
3,6377,3,Animation
3,7153,2.5,Fantasy
3,7361,3,Sci-Fi
3,8622,3.5,Documentary
3,8636,3,IMAX
3,27369,3.5,Comedy
3,44191,3.5,Thriller
3,48783,4.5,War
3,50068,4.5,War
3,58559,3,IMAX
3,84236,4,Documentary
4,10,4,Thriller
4,34,5,Children
4,112,5,Crime
4,141,5,Comedy
4,153,4,Adventure
4,173,3,Sci-Fi
4,185,3,Thriller
4,260,5,Sci-Fi
4,289,4,Comedy
4,296,5,Thriller
4,329,3,Sci-Fi
4,349,5,Thriller
4,356,5,Romance
4,357,5,Comedy
4,364,5,Musical
4,367,4,Fantasy
4,380,3,Adventure
4,410,3,Children
4,431,3,Crime
4,434,4,Action
4,435,1,Sci-Fi
4,440,4,Comedy
4,442,4,Sci-Fi
4,464,4,Action
4,480,5,Thriller
4,541,5,Action
4,588,5,Adventure
4,589,5,Sci-Fi
4,590,3,Western
4,594,5,Animation
4,596,5,Children
4,610,4,Horror
4,616,5,Animation
4,858,5,Crime
4,903,5,Thriller
4,910,4,Crime
4,913,5,Mystery
4,919,5,Adventure
4,1011,4,Children
4,1016,4,Children
4,1022,5,Animation
4,1028,5,Children
4,1030,5,Musical
4,1031,5,Adventure
4,1032,5,Adventure
4,1033,5,Animation
4,1036,5,Action
4,1073,5,Children
4,1079,5,Comedy
4,1089,5,Crime
4,1097,5,Children
4,1125,5,Comedy
4,1127,5,Sci-Fi
4,1136,5,Adventure
4,1194,5,Comedy
4,1196,5,Sci-Fi
4,1197,5,Fantasy
4,1198,5,Action
4,1200,5,Sci-Fi
4,1206,5,Crime
4,1208,5,War
4,1210,5,Adventure
4,1213,5,Crime
4,1214,5,Sci-Fi
4,1219,5,Crime
4,1220,5,Musical
4,1222,5,War
4,1225,5,Drama
4,1230,5,Romance
4,1240,5,Sci-Fi
4,1243,5,Comedy
4,1257,5,Romance
4,1258,5,Horror
4,1259,4,Adventure
4,1265,5,Fantasy
4,1270,5,Sci-Fi
4,1278,5,Fantasy
4,1282,5,Children
4,1285,4,Comedy
4,1288,5,Comedy
4,1291,5,Adventure
4,1298,4,Musical
4,1307,4,Comedy
4,1332,4,Horror
4,1334,5,Sci-Fi
4,1344,5,Thriller
4,1356,4,Sci-Fi
4,1371,4,Adventure
4,1372,3,Mystery
4,1374,4,Adventure
4,1376,3,Sci-Fi
4,1377,3,Crime
4,1380,5,Romance
4,1387,5,Horror
4,1388,4,Horror
4,1396,5,Sci-Fi
4,1544,3,Thriller
4,1580,5,Comedy
4,1663,4,War
4,1674,5,Thriller
4,1805,1,Drama
4,1858,5,Action
4,1917,4,Action
4,1918,2,Thriller
4,1953,5,Crime
4,1954,5,Drama
4,1961,5,Drama
4,1967,3,Musical
4,1968,5,Drama
4,1994,5,Horror
4,2000,5,Crime
4,2002,3,Action
4,2003,2,Horror
4,2005,5,Fantasy
4,2014,4,Children
4,2018,5,Animation
4,2020,4,Romance
4,2021,4,Sci-Fi
4,2033,4,Children
4,2034,4,Sci-Fi
4,2046,5,Sci-Fi
4,2054,3,Children
4,2064,5,Documentary
4,2078,5,Musical
4,2080,5,Animation
4,2081,4,Romance
4,2085,5,Adventure
4,2086,5,Fantasy
4,2087,5,Musical
4,2091,5,Children
4,2094,4,Adventure
4,2096,5,Animation
4,2100,5,Romance
4,2102,5,Animation
4,2105,4,Sci-Fi
4,2109,5,Comedy
4,2110,3,Thriller
4,2114,5,Drama
4,2115,5,Adventure
4,2124,4,Fantasy
4,2140,5,Adventure
4,2141,4,Animation
4,2143,4,Romance
4,2144,5,Comedy
4,2161,5,Adventure
4,2174,5,Comedy
4,2193,3,Action
4,2194,5,Action
4,2248,4,Comedy
4,2263,3,Thriller
4,2268,5,Crime
4,2289,5,Comedy
4,2348,4,Drama
4,2371,4,Mystery
4,2403,4,Action
4,2406,5,Romance
4,2409,4,Drama
4,2454,5,Horror
4,2467,5,Mystery
4,2551,4,Thriller
4,2616,1,Crime
4,2628,5,Sci-Fi
4,2640,5,Adventure
4,2659,3,Documentary
4,2683,4,Action
4,2699,4,Horror
4,2716,5,Sci-Fi
4,2723,5,Action
4,2734,4,Thriller
4,2770,1,Comedy
4,2788,5,Comedy
4,2791,5,Comedy
4,2795,4,Comedy
4,2797,5,Drama
4,2804,5,Children
4,2822,3,Romance
4,2867,3,Comedy
4,2872,5,Adventure
4,2877,5,Musical
4,2902,2,Thriller
4,2903,1,Horror
4,2916,4,Action
4,2918,5,Comedy
4,2968,5,Sci-Fi
4,2986,3,Action
4,2987,5,Mystery
4,2991,5,Adventure
4,3016,3,Horror
4,3034,5,Musical
4,3039,4,Comedy
4,3040,5,Comedy
4,3060,5,Musical
4,3071,4,Comedy
4,3101,4,Drama
4,3104,4,Crime
4,3108,5,Fantasy
4,3169,4,Thriller
4,3208,2,Action
4,3210,4,Romance
4,3251,5,Mystery
4,3255,4,Comedy
4,3263,3,Drama
4,3265,5,Crime
4,4006,2,Sci-Fi
5,3,4,Romance
5,39,4,Comedy
5,104,4,Comedy
5,141,4,Comedy
5,150,4,IMAX
5,231,3.5,Adventure
5,277,4.5,Drama
5,344,3.5,Comedy
5,356,4,War
5,364,4,Adventure
5,367,4,Crime
5,377,4,Action
5,440,4,Romance
5,500,4.5,Comedy
5,586,4,Children
5,588,3.5,Adventure
5,595,4,IMAX
5,597,5,Romance
5,788,3.5,Sci-Fi
5,858,2.5,Drama
5,903,3.5,Thriller
5,919,4,Children
5,1022,4,Fantasy
5,1035,5,Musical
5,1193,3,Drama
5,1221,2.5,Crime
5,1247,4,Comedy
5,1307,4,Comedy
5,1380,5,Musical
5,1393,3.5,Romance
5,1485,4.5,Comedy
5,1544,3.5,Thriller
5,1682,4,Sci-Fi
5,1721,4,Drama
5,1777,4,Romance
5,1784,4.5,Comedy
5,1923,4.5,Romance
5,1961,4,Drama
5,1968,4,Comedy
5,1997,3.5,Horror
5,2023,1.5,Drama
5,2081,5,Musical
5,2273,4,Thriller
5,2294,4,Adventure
5,2355,3.5,Animation
5,2424,4,Romance
5,2502,3.5,Crime
5,2683,4,Action
5,2694,4.5,Comedy
5,2706,4,Comedy
5,2762,3.5,Mystery
5,2770,3.5,Comedy
5,2918,3.5,Comedy
5,2997,3.5,Fantasy
5,3114,3.5,Children
5,3176,3.5,Mystery
5,3408,4,Drama
5,3753,3.5,War
5,3897,4.5,Drama
5,3948,3.5,Comedy
5,4014,4,Romance
5,4018,4,Comedy
5,4022,3.5,Drama
5,4025,4.5,Comedy
5,4306,3.5,Animation
5,4308,3.5,Musical
5,4447,4.5,Comedy
5,4718,3.5,Comedy
5,4963,3,Crime
5,4995,4.5,Romance
5,5266,3.5,Thriller
5,5299,4.5,Comedy
5,5349,4.5,Action
5,5464,4,Crime
5,5669,3.5,Documentary
5,5679,4.5,Horror
5,5816,3,Fantasy
5,5995,4,War
5,6218,3.5,Romance
5,6373,4,Comedy
5,6377,4,Children
5,6502,4,Horror
5,6711,2.5,Drama
5,6942,4,Romance
5,8376,4,Comedy
5,8464,4,Documentary
5,8622,3.5,Documentary
5,8636,4.5,Sci-Fi
5,8644,4,Action
5,30707,4.5,Drama
5,30749,4.5,War
5,30793,3.5,IMAX
5,33166,5,Crime
5,33679,4,Action
5,34162,4.5,Romance
5,35836,4,Comedy
5,40819,4.5,Drama
5,41566,4,Adventure
5,41569,4,Fantasy
5,48385,4.5,Comedy
6,111,4,Crime
6,158,2,Adventure
6,173,2,Crime
6,293,5,Action
6,596,4,Animation
6,903,4,Mystery
6,1204,5,Adventure
6,1250,4.5,War
6,1259,4.5,Drama
6,1276,4.5,Drama
6,1285,4.5,Comedy
6,1358,2,Drama
6,1639,2,Romance
6,1687,2,Thriller
6,1747,2,Comedy
6,1876,0.5,Thriller
6,1909,3,Action
6,2001,3,Action
6,2019,4,Adventure
6,2072,4,Comedy
6,2174,4,Comedy
6,2502,3.5,Crime
6,2528,3,Sci-Fi
6,2529,4,Action
6,2571,1,Thriller
6,2657,2,Horror
6,2692,4,Crime
6,2723,3,Action
6,2761,4.5,Sci-Fi
6,2890,3,War
6,3052,1,Fantasy
6,3114,4,Adventure
6,3300,3.5,Horror
6,3751,1.5,Animation
6,4641,1.5,Comedy
6,4975,1.5,Mystery
6,5952,5,Adventure
6,7090,3,Adventure
6,7153,5,Action
6,7361,4,Romance
6,8368,3.5,Fantasy
6,8636,4,IMAX
6,8784,3,Romance
6,8874,4.5,Comedy
7,1,3,Adventure
7,10,3,Action
7,21,3,Comedy
7,31,3,Drama
7,34,4,Children
